DTC name/C, DTC CMSSW Id/U, DTC Phi Sector Ref/I, type /C, DTC Slot/I, DTC Phi Sector Width_deg/D, Cable #/I, Cable type/C, Bundle #/I, OPT Services Channel/I, PWR Services Channel/I, Module DetId/U, Module Section/C, Module Layer/I, Module Ring/I, Module phi_deg/D
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14010, 1 B, 1 C, 441190452, TB2S, 1, 1, 7.5
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14010, 1 B, 1 C, 441190456, TB2S, 1, 2, 7.5
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14010, 1 B, 1 C, 441190460, TB2S, 1, 3, 7.5
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14010, 1 B, 1 C, 441190464, TB2S, 1, 4, 7.5
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14010, 1 B, 1 C, 441190468, TB2S, 1, 5, 7.5
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14010, 1 B, 1 C, 441190472, TB2S, 1, 6, 7.5
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14010, 1 B, 1 C, 441190476, TB2S, 1, 7, 7.5
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14010, 1 B, 1 C, 441190480, TB2S, 1, 8, 7.5
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14010, 1 B, 1 C, 441190484, TB2S, 1, 9, 7.5
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14010, 1 B, 1 C, 441190488, TB2S, 1, 10, 7.5
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14010, 1 B, 1 C, 441190492, TB2S, 1, 11, 7.5
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14010, 1 B, 1 C, 441190496, TB2S, 1, 12, 7.5
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14020, 1 B, 1 C, 441191476, TB2S, 1, 1, 15
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14020, 1 B, 1 C, 441191480, TB2S, 1, 2, 15
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14020, 1 B, 1 C, 441191484, TB2S, 1, 3, 15
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14020, 1 B, 1 C, 441191488, TB2S, 1, 4, 15
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14020, 1 B, 1 C, 441191492, TB2S, 1, 5, 15
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14020, 1 B, 1 C, 441191496, TB2S, 1, 6, 15
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14020, 1 B, 1 C, 441191500, TB2S, 1, 7, 15
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14020, 1 B, 1 C, 441191504, TB2S, 1, 8, 15
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14020, 1 B, 1 C, 441191508, TB2S, 1, 9, 15
0_2S_1, 7, 0, 2S, 1, 40.000000, 21, 2S, 14020, 1 B, 1 C, 441191512, TB2S, 1, 10, 15
